Image1,Image2,Image3,Image4,AudioFile,TargetLocation,Label,Group,AdjTime,NounTime,NPTime,AudioDur
lipstick.png,unicorn.png,soccerball.png,plane.png,lipstick.mp3,1,filler,B,,888,888,1755
firefighter.png,lollipop.png,sushi.png,ticket.png,lollipop.mp3,2,filler,B,,921,921,1853
box.png,knight.png,popcorn.png,skirt.png,popcorn.mp3,3,filler,B,,955,955,1706
bow.png,pumpkin.png,baseball.png,turtle.png,turtle.mp3,4,filler,B,,1070,1070,1559
egg.png,saw.png,pie.png,moose.png,egg.mp3,1,filler,B,,883,883,1407
grasshopper.png,axe.png,medal.png,log.png,axe.mp3,2,filler,B,,1015,1015,1779
horseshoe.png,lemon.png,penny.png,firetruck.png,penny.mp3,3,filler,B,,1084,1084,1547
couch.png,necklace.png,cactus.png,planet.png,planet.mp3,4,filler,B,,1047,1047,1736
sandwich.png,mattress.png,thread.png,plate.png,sandwich.mp3,1,filler,B,,946,946,2108
cow.png,skull.png,doorknob.png,butter.png,skull.mp3,2,filler,B,,850,850,1534
moon.png,apron.png,castle.png,spatula.png,castle.mp3,3,filler,B,,974,974,1680
baby.png,sweater.png,ambulance.png,magnet.png,magnet.mp3,4,filler,B,,884,884,1794
